place_id,place_description,latitud,longitud
P048,HIGUERETA - PVH,-12.1270589999999,-77.001276
P061,CORTIJO - PVH,-12.134743,-77.0182449999999
P064,MIRAFLORES - PVH,-12.111917,-77.029649
P081,LA MOLINA - PVH,-12.091601,-76.9502999999999
P108,AYACUCHO - PVS,-12.14256,-77.002988
P114,PRO - PVH,-11.9400289999999,-77.0695819999999
P117,IZAGUIRRE - PVH,-11.989182,-77.063089
P126,SANTA CLARA - PVH,-12.016256,-76.886064
P135,COLONIAL - PVH,-12.051925,-77.092618
P227,SAN ISIDRO - PVH,-12.097612,-77.026503
P291,LA CURVA - PVH,-12.180367,-76.9425379999999
P465,SUCRE - PVH,-12.07607,-77.06474
V140,LIBERTADORES - VIV,-12.103529,-77.037993
V290,ASIA - VIV,-12.763071,-76.6004209999999
P010,CAMINOS DEL INCA - PVS,-12.114452,-76.9910079999999
P106,VALLE HERMOSO - PVH,-12.127063,-76.9756
V095,MONTERRICO - VIV,-12.108917,-76.9721239999999
1199,SAN MIGUEL - PVH,-12.07663,-77.08396
P001,LOS OLIVOS - PVH,-11.994579,-77.0724639999999
P125,SJ LURIGANCHO - PVH,-11.991236,-77.015518
P139,ALAMEDA SUR - PVS,-12.196286,-77.011609
P068,PRIMAVERA - PVH,-12.111202,-77.0069369999999
P195,SAN BORJA - PVH,-12.089993,-77.004413
P723,PURUCHUCO - PVH,-12.06206,-76.93496
P110,CORPAC - PVS,-12.098426,-77.0114159999999
P118,ALFONSO UGARTE - PVH,-12.053577,-77.041701